序号,种子图片,生成图片,标签
1,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/1.jpg,1_0.jpg,0.268780708
2,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/1.jpg,1_1.jpg,0.268780708
3,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/1.jpg,1_2.jpg,0.268780708
4,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/1.jpg,1_3.jpg,0.268780708
5,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/1.jpg,1_4.jpg,0.268780708
6,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/1.jpg,1_5.jpg,0.268780708
7,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/1.jpg,1_6.jpg,0.268780708
8,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/1.jpg,1_7.jpg,0.268780708
9,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/1.jpg,1_8.jpg,0.268780708
10,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/1.jpg,1_9.jpg,0.268780708
11,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/2.jpg,2_0.jpg,-0.474729568
12,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/2.jpg,2_1.jpg,-0.474729568
13,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/2.jpg,2_2.jpg,-0.474729568
14,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/2.jpg,2_3.jpg,-0.474729568
15,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/2.jpg,2_4.jpg,-0.474729568
16,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/2.jpg,2_5.jpg,-0.474729568
17,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/2.jpg,2_6.jpg,-0.474729568
18,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/2.jpg,2_7.jpg,-0.474729568
19,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/2.jpg,2_8.jpg,-0.474729568
20,/Users/linlidan/PycharmProjects/ai-test-master 2/ISTA-master/dataset/hmb2_test/hmb2_test/2.jpg,2_9.jpg,-0.474729568
